NORAD,Longitude,COSPAR,SATNAME,COUNTRY,LAUNCH,COMPLIANCE
41194,105.7055585,2015-083A,GAOFEN 4,PRC,12/28/15,Yes
37256,105.9981694,2010-068A,BEIDOU 7,PRC,12/17/10,Yes
55683,106.3248071,2023-022A,INMARSAT 6-F2,IM,2/18/23,No
41434,106.9098529,2016-021A,BEIDOU IGSO-6,PRC,3/29/16,No
37763,106.9458621,2011-038A,BEIDOU 9,PRC,7/26/11,No
44978,107.5537992,2020-002A,TJS-5,PRC,1/7/20,Yes
43587,108.0295514,2018-064A,TELKOM-4,INDO,8/7/18,Yes
34941,108.2367257,2009-027A,SES 7 (PROTOSTAR 2),SES,5/16/09,Yes
41380,108.3330191,2016-013A,SES 9,SES,3/4/16,Yes
37384,108.5944096,2011-013A,BEIDOU 8,PRC,4/9/11,Yes
43539,109.5026652,2018-057A,BEIDOU IGSO-7,PRC,7/9/18,No
37207,109.8517519,2010-056B,BSAT-3B,JPN,10/28/10,Yes
46112,109.8563467,2020-056A,BSAT-4B,JPN,8/15/20,Yes
32019,109.8805894,2007-036B,BSAT-3A,JPN,8/14/07,Yes
42951,109.8918758,2017-059B,BSAT-4A,JPN,9/29/17,Yes
41903,110.0685505,2016-082A,JCSAT 15,JPN,12/21/16,Yes
45807,110.4393161,2020-040A,BEIDOU 3 G3,PRC,6/23/20,Yes
